,Average Outflow,Average Inflow,Energy Consumption,Ammonia,Biological Oxygen Demand,Chemical Oxygen Demand,Total Nitrogen,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure,Average humidity,Total rainfall,Average visibility,Average wind speed,Maximum wind speed,Year,Month,Day
1143,3.076,3.738,197054.0,36.0,340.0,870.0,62.83,7.1,14.0,2.0,0.0,74.0,0.0,10.0,15.4,24.1,2018.0,7.0,1.0
1144,4.54,4.004,196853.0,41.0,360.0,1100.0,67.115,9.1,14.0,6.0,0.0,67.0,0.0,10.0,29.1,57.6,2018.0,7.0,2.0
1145,1.743,3.106,222667.0,38.0,420.0,1000.0,62.987,10.8,14.0,5.4,0.0,68.0,0.0,10.0,38.7,53.5,2018.0,7.0,3.0
1146,5.076,4.353,219809.0,32.0,500.0,1100.0,68.183,12.9,16.0,9.1,0.0,62.0,0.0,10.0,49.1,63.0,2018.0,7.0,4.0
1147,2.989,3.657,225159.0,47.0,590.0,1200.0,68.183,14.4,18.0,9.0,0.0,57.0,0.0,10.0,30.0,53.5,2018.0,7.0,5.0
1148,3.725,3.851,259038.0,53.0,320.0,820.0,65.0,10.5,13.0,8.0,0.0,77.0,0.0,9.5,27.0,44.6,2018.0,7.0,8.0
1149,2.981,3.788,257045.0,54.0,290.0,930.0,62.303,9.6,13.0,6.0,0.0,73.0,0.0,10.0,15.4,27.8,2018.0,7.0,9.0
1150,3.863,3.785,263663.0,54.0,270.0,920.0,62.524,8.1,11.0,4.9,0.0,66.0,0.0,10.0,15.9,40.7,2018.0,7.0,10.0
1151,6.021,3.87,249311.0,52.0,350.0,960.0,62.987,6.7,10.0,2.7,0.0,76.0,0.0,10.0,14.6,38.9,2018.0,7.0,11.0
1152,5.055,3.977,261481.0,52.0,330.0,930.0,62.849,7.9,12.0,6.0,0.0,55.0,0.0,10.0,9.6,13.0,2018.0,7.0,12.0
1153,3.558,6.92,210059.0,53.0,320.0,850.0,63.052,8.5,12.0,6.0,0.0,60.0,0.0,10.0,40.2,53.5,2018.0,7.0,15.0
1154,5.485,4.721,239570.0,46.0,330.0,830.0,63.052,9.0,13.0,6.0,0.0,61.0,0.0,10.0,37.2,51.9,2018.0,7.0,16.0
1155,3.1,4.287,241046.0,49.0,330.0,850.0,62.524,9.1,16.0,5.0,0.0,66.0,0.0,9.5,35.7,63.0,2018.0,7.0,17.0
1156,6.215,5.224,243416.0,49.0,310.0,1000.0,63.006,10.2,14.0,6.7,0.0,57.0,0.0,10.0,33.2,51.9,2018.0,7.0,18.0
1157,5.844,4.032,267608.0,44.0,350.0,1100.0,67.07,9.3,17.0,5.0,0.0,66.0,0.0,10.0,20.7,40.7,2018.0,7.0,19.0
1158,3.622,6.751,227613.0,49.0,280.0,850.0,63.052,9.0,13.0,6.0,0.0,55.0,0.0,10.0,36.5,63.0,2018.0,7.0,22.0
1159,4.117,5.459,286788.0,47.0,320.0,940.0,63.84,9.3,13.0,7.0,0.0,65.0,0.0,10.0,41.1,66.5,2018.0,7.0,23.0
