,Average Outflow,Average Inflow,Energy Consumption,Ammonia,Biological Oxygen Demand,Chemical Oxygen Demand,Total Nitrogen,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure,Average humidity,Total rainfall,Average visibility,Average wind speed,Maximum wind speed,Year,Month,Day
1231,4.125,4.136,234241.0,27.0,422.98,845.96,64.849,27.4,34.0,20.0,0.0,28.0,0.0,0.0,25.4,50.0,2018.0,11.0,1.0
1232,3.053,4.955,270214.0,39.0,422.98,845.96,63.683,17.7,24.0,14.0,0.0,55.0,0.0,0.0,12.4,27.8,2018.0,11.0,4.0
1233,4.118,4.384,240673.0,21.0,422.98,845.96,62.785,14.7,21.0,5.0,0.0,75.0,0.0,51.5,13.0,27.8,2018.0,11.0,6.0
1234,3.973,4.272,330795.0,35.0,422.98,845.96,62.479,10.3,16.0,6.0,0.0,62.0,0.0,0.0,21.5,45.2,2018.0,11.0,7.0
1235,3.798,4.744,300619.0,33.0,320.0,760.0,61.24,12.0,17.1,6.9,0.0,59.0,0.0,0.0,16.7,27.8,2018.0,11.0,8.0
1236,3.85,4.489,275148.0,35.0,340.0,830.0,63.155,24.4,29.0,20.0,0.0,25.0,0.0,0.0,22.0,31.7,2018.0,11.0,12.0
1237,4.109,4.388,316940.0,41.0,310.0,920.0,62.322,12.3,17.1,6.0,0.0,64.0,0.0,0.0,19.5,31.7,2018.0,11.0,15.0
1238,3.077,4.219,279823.0,39.0,350.0,910.0,60.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,11.0,18.0
1239,6.624,4.734,282413.0,31.0,320.0,1100.0,64.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,11.0,19.0
1240,7.579,4.738,305587.0,34.0,310.0,1000.0,60.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,11.0,20.0
1241,6.239,10.888,315000.0,28.0,280.0,680.0,59.603,12.5,14.0,11.0,0.0,67.0,0.0,0.0,28.9,42.4,2018.0,11.0,22.0
1242,4.389,6.805,303537.0,30.0,330.0,720.0,61.24,14.4,19.0,11.0,0.0,78.0,0.0,0.0,16.3,31.7,2018.0,11.0,25.0
1243,3.385,5.644,291143.0,35.0,340.0,930.0,63.0,15.5,19.0,13.0,0.0,71.0,0.0,0.0,15.0,25.9,2018.0,11.0,26.0
1244,3.431,5.341,296543.0,31.0,300.0,900.0,63.248,16.6,20.1,14.0,0.0,75.0,0.0,0.0,22.0,35.2,2018.0,11.0,27.0
1245,4.827,4.518,335973.0,43.0,340.0,960.0,63.312,15.6,20.3,13.0,0.0,50.0,0.0,51.3,25.0,35.9,2018.0,11.0,28.0
1246,3.963,5.076,349363.0,44.0,340.0,940.0,63.091,15.9,20.0,14.0,0.0,74.0,0.0,0.0,17.6,25.9,2018.0,11.0,29.0
1247,5.489,4.907,291902.0,25.0,290.0,1200.0,67.019,14.7,19.0,11.0,0.0,52.0,0.0,10.0,24.4,38.9,2018.0,12.0,2.0
1248,4.559,4.637,313630.0,46.0,320.0,820.0,61.69,16.4,23.0,12.0,0.0,64.0,0.0,10.0,25.6,40.7,2018.0,12.0,3.0
1249,4.57,5.068,324791.0,45.0,330.0,920.0,63.091,16.1,20.0,12.0,0.0,68.0,0.0,10.0,15.6,24.1,2018.0,12.0,4.0
1250,5.056,5.941,292929.0,38.0,330.0,870.0,63.312,19.1,28.0,12.6,0.0,63.0,0.0,0.0,15.7,42.4,2018.0,12.0,5.0
1251,5.095,9.77,277937.0,27.0,360.0,870.0,64.321,29.4,35.0,25.0,0.0,29.0,0.0,0.0,30.4,51.9,2018.0,12.0,6.0
1252,3.846,6.157,292278.0,56.0,330.0,920.0,63.136,16.8,21.0,14.0,0.0,79.0,0.0,10.0,11.9,27.8,2018.0,12.0,9.0
1253,5.372,5.004,292526.0,47.0,390.0,930.0,69.0,16.3,21.0,11.5,0.0,68.0,0.0,10.0,15.9,29.4,2018.0,12.0,10.0
1254,6.027,4.592,371224.0,40.0,350.0,1100.0,67.019,19.2,28.0,13.0,0.0,66.0,0.0,10.0,16.9,42.4,2018.0,12.0,11.0
1255,6.028,6.037,326261.0,34.0,320.0,990.0,64.321,24.6,33.0,15.6,0.0,51.0,0.0,9.2,20.9,40.7,2018.0,12.0,12.0
1256,6.037,6.426,306734.0,23.0,300.0,740.0,59.603,16.6,20.0,14.0,0.0,87.0,0.0,8.9,17.4,38.9,2018.0,12.0,13.0
1257,3.539,6.058,327745.0,32.0,230.0,640.0,60.839,17.8,23.0,14.0,0.0,77.0,0.0,10.0,15.0,38.9,2018.0,12.0,16.0
1258,3.003,5.995,305813.0,30.0,290.0,750.0,61.24,17.6,22.0,15.0,0.0,76.0,0.0,10.0,16.7,25.9,2018.0,12.0,17.0
1259,3.021,5.159,259978.0,35.0,330.0,970.0,63.136,17.9,22.0,16.0,0.0,77.0,0.0,10.0,15.0,24.1,2018.0,12.0,18.0
1260,3.024,4.703,332033.0,32.0,330.0,890.0,63.091,20.1,26.0,14.8,0.0,73.0,0.0,9.5,8.5,18.3,2018.0,12.0,19.0
1261,3.028,4.441,325807.0,32.0,360.0,850.0,63.248,15.9,20.3,12.7,0.0,81.0,0.0,9.2,21.7,33.5,2018.0,12.0,20.0
1262,3.027,4.433,243707.0,68.0,330.0,930.0,64.366,18.5,22.0,16.0,0.0,55.0,0.0,10.0,18.7,27.8,2019.0,1.0,6.0
1263,3.023,4.599,274646.0,34.0,320.0,970.0,63.792,19.2,24.0,15.9,0.0,66.0,0.0,10.0,15.0,27.8,2019.0,1.0,7.0
1264,3.03,4.496,263962.0,32.0,310.0,810.0,62.023,19.0,26.0,14.0,0.0,65.0,0.0,10.0,19.4,33.5,2019.0,1.0,8.0
1265,5.063,4.447,253436.0,33.0,340.0,810.0,60.0,15.4,20.0,9.0,0.0,56.0,0.0,10.0,16.7,31.7,2019.0,1.0,9.0
1266,5.485,4.487,254959.0,35.0,350.0,850.0,64.32,16.8,22.0,11.0,0.0,59.0,0.0,10.0,14.8,25.9,2019.0,1.0,10.0
1267,5.345,4.463,252191.0,39.0,280.0,720.0,61.632,22.1,29.0,16.9,0.0,59.0,0.0,0.0,18.5,31.7,2019.0,1.0,13.0
1268,7.635,17.36,248053.0,35.0,300.0,810.0,63.07,25.6,38.0,16.0,0.0,55.0,0.0,0.0,14.1,31.7,2019.0,1.0,14.0
1269,6.765,11.692,275338.0,29.0,330.0,860.0,64.801,25.8,37.0,16.9,0.0,47.0,0.0,10.0,11.7,27.8,2019.0,1.0,15.0
1270,7.308,6.829,313894.0,34.0,360.0,880.0,63.792,23.6,30.0,19.9,0.0,59.0,0.0,10.0,10.6,29.4,2019.0,1.0,16.0
1271,7.036,5.639,282407.0,36.0,350.0,880.0,65.004,27.8,37.0,21.0,0.0,44.0,0.0,10.0,16.3,46.5,2019.0,1.0,17.0
1272,5.47,5.351,240626.0,34.0,300.0,710.0,61.866,20.1,24.0,17.8,0.0,73.0,0.0,10.0,17.2,25.9,2019.0,1.0,20.0
1273,7.561,5.075,276750.0,35.0,320.0,760.0,58.0,21.9,29.0,18.0,0.0,70.0,0.0,10.0,12.4,27.8,2019.0,1.0,21.0
