,Average Outflow,Average Inflow,Energy Consumption,Ammonia,Biological Oxygen Demand,Chemical Oxygen Demand,Total Nitrogen,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure,Average humidity,Total rainfall,Average visibility,Average wind speed,Maximum wind speed,Year,Month,Day
1301,5.133,4.781,283081.0,46.0,350.0,870.0,65.486,25.4,38.0,16.0,0.0,42.0,0.0,10.0,17.8,40.7,2019.0,3.0,3.0
1302,5.951,4.42,300576.0,50.0,360.0,840.0,70.0,20.9,29.0,16.0,0.0,59.0,0.0,0.0,11.9,24.1,2019.0,3.0,4.0
1303,5.956,5.531,275199.0,38.0,330.0,820.0,61.396,18.4,26.0,11.0,0.0,69.0,0.0,10.0,18.0,38.9,2019.0,3.0,5.0
1304,5.976,7.13,203334.0,22.0,370.0,790.0,60.424,12.2,17.0,7.0,0.0,52.0,0.0,10.0,19.8,61.1,2019.0,3.0,6.0
1305,5.974,6.117,231426.0,31.0,390.0,920.0,64.366,17.3,24.0,11.0,0.0,32.0,0.0,0.0,15.0,29.4,2019.0,3.0,7.0
1306,1.146,6.176,218284.0,35.0,422.98,845.96,64.366,19.4,26.1,12.0,0.0,34.0,0.0,0.0,16.3,31.7,2019.0,3.0,8.0
1307,4.347826086956525e-06,5.434,242929.0,49.0,350.0,1000.0,64.522,17.8,24.0,13.0,0.0,67.0,0.0,10.0,14.8,42.4,2019.0,3.0,11.0
1308,4.347826086956525e-06,5.571,266625.0,25.0,390.0,980.0,63.995,13.2,19.0,8.0,0.0,55.0,0.0,10.0,19.1,38.9,2019.0,3.0,12.0
1309,4.347826086956525e-06,5.264,351227.0,27.0,350.0,850.0,63.792,14.3,18.0,9.7,1017.5,59.0,0.0,11.3,14.4,25.9,2019.0,3.0,13.0
1310,4.347826086956525e-06,4.968,326009.0,31.0,290.0,780.0,61.24,15.9,22.0,11.0,0.0,62.0,0.0,10.0,14.1,25.9,2019.0,3.0,14.0
